order_id,product_id,product_name,category,quantity,price,total_price,sale_date
ORD20251113001,P012,Toothpaste,Personal Care,2,3.2,6.4,2025-11-13
ORD20251113001,P010,Mineral Water 500ml,Beverages,2,1.0,2.0,2025-11-13
ORD20251113001,P008,Yogurt 500g,Dairy,1,3.0,3.0,2025-11-13
ORD20251113001,P002,Pepsi 330ml,Beverages,2,1.45,2.9,2025-11-13
ORD20251113002,P001,Coca-Cola 330ml,Beverages,2,1.5,3.0,2025-11-13
ORD20251113003,P002,Pepsi 330ml,Beverages,2,1.45,2.9,2025-11-13
ORD20251113003,P007,Milk 1L,Dairy,1,2.2,2.2,2025-11-13
ORD20251113004,P012,Toothpaste,Personal Care,2,3.2,6.4,2025-11-13
ORD20251113004,P006,Croissant,Bakery,3,1.8,5.4,2025-11-13
ORD20251113004,P015,Bananas 1kg,Fruits,2,1.5,3.0,2025-11-13
ORD20251113005,P014,Apples 1kg,Fruits,3,2.8,8.399999999999999,2025-11-13
ORD20251113005,P010,Mineral Water 500ml,Beverages,3,1.0,3.0,2025-11-13
ORD20251113006,P002,Pepsi 330ml,Beverages,3,1.45,4.35,2025-11-13
ORD20251113006,P012,Toothpaste,Personal Care,2,3.2,6.4,2025-11-13
ORD20251113006,P004,Doritos Nacho Cheese,Snacks,3,2.2,6.6000000000000005,2025-11-13
ORD20251113006,P014,Apples 1kg,Fruits,3,2.8,8.399999999999999,2025-11-13
ORD20251113007,P004,Doritos Nacho Cheese,Snacks,1,2.2,2.2,2025-11-13
ORD20251113007,P011,Chocolate Bar,Snacks,3,1.8,5.4,2025-11-13
ORD20251113008,P004,Doritos Nacho Cheese,Snacks,2,2.2,4.4,2025-11-13
ORD20251113008,P004,Doritos Nacho Cheese,Snacks,2,2.2,4.4,2025-11-13
ORD20251113009,P005,Whole Wheat Bread,Bakery,3,3.5,10.5,2025-11-13
ORD20251113009,P009,Eggs 12pcs,Dairy,3,4.0,12.0,2025-11-13
ORD20251113009,P012,Toothpaste,Personal Care,2,3.2,6.4,2025-11-13
ORD20251113009,P014,Apples 1kg,Fruits,3,2.8,8.399999999999999,2025-11-13
ORD20251113010,P002,Pepsi 330ml,Beverages,2,1.45,2.9,2025-11-13
ORD20251113010,P002,Pepsi 330ml,Beverages,1,1.45,1.45,2025-11-13
ORD20251113010,P009,Eggs 12pcs,Dairy,1,4.0,4.0,2025-11-13
ORD20251113010,P010,Mineral Water 500ml,Beverages,1,1.0,1.0,2025-11-13
ORD20251113011,P013,Shampoo,Personal Care,2,5.5,11.0,2025-11-13
ORD20251113011,P014,Apples 1kg,Fruits,2,2.8,5.6,2025-11-13
ORD20251113011,P007,Milk 1L,Dairy,3,2.2,6.6000000000000005,2025-11-13
ORD20251113012,P015,Bananas 1kg,Fruits,3,1.5,4.5,2025-11-13
ORD20251113012,P003,Lays Classic Chips,Snacks,2,2.0,4.0,2025-11-13
ORD20251113012,P012,Toothpaste,Personal Care,1,3.2,3.2,2025-11-13
ORD20251113013,P006,Croissant,Bakery,3,1.8,5.4,2025-11-13
ORD20251113014,P011,Chocolate Bar,Snacks,2,1.8,3.6,2025-11-13
ORD20251113014,P007,Milk 1L,Dairy,1,2.2,2.2,2025-11-13
ORD20251113014,P005,Whole Wheat Bread,Bakery,3,3.5,10.5,2025-11-13
ORD20251113014,P011,Chocolate Bar,Snacks,3,1.8,5.4,2025-11-13
ORD20251113015,P005,Whole Wheat Bread,Bakery,3,3.5,10.5,2025-11-13
ORD20251113015,P009,Eggs 12pcs,Dairy,1,4.0,4.0,2025-11-13
ORD20251113015,P004,Doritos Nacho Cheese,Snacks,2,2.2,4.4,2025-11-13
ORD20251113015,P001,Coca-Cola 330ml,Beverages,1,1.5,1.5,2025-11-13
ORD20251113016,P012,Toothpaste,Personal Care,1,3.2,3.2,2025-11-13
ORD20251113016,P014,Apples 1kg,Fruits,3,2.8,8.399999999999999,2025-11-13
ORD20251113016,P013,Shampoo,Personal Care,2,5.5,11.0,2025-11-13
ORD20251113017,P015,Bananas 1kg,Fruits,2,1.5,3.0,2025-11-13
ORD20251113018,P008,Yogurt 500g,Dairy,1,3.0,3.0,2025-11-13
ORD20251113018,P004,Doritos Nacho Cheese,Snacks,2,2.2,4.4,2025-11-13
ORD20251113018,P008,Yogurt 500g,Dairy,2,3.0,6.0,2025-11-13
ORD20251113018,P005,Whole Wheat Bread,Bakery,1,3.5,3.5,2025-11-13
ORD20251113019,P003,Lays Classic Chips,Snacks,2,2.0,4.0,2025-11-13
ORD20251113019,P009,Eggs 12pcs,Dairy,3,4.0,12.0,2025-11-13
ORD20251113020,P012,Toothpaste,Personal Care,2,3.2,6.4,2025-11-13
ORD20251113020,P004,Doritos Nacho Cheese,Snacks,2,2.2,4.4,2025-11-13
ORD20251113021,P010,Mineral Water 500ml,Beverages,3,1.0,3.0,2025-11-13
ORD20251113021,P002,Pepsi 330ml,Beverages,2,1.45,2.9,2025-11-13
ORD20251113021,P004,Doritos Nacho Cheese,Snacks,2,2.2,4.4,2025-11-13
