order_id,product_id,product_name,category,quantity,price,total_price,sale_date
ORD20251101001,P005,Whole Wheat Bread,Bakery,2,3.5,7.0,2025-11-01
ORD20251101001,P006,Croissant,Bakery,1,1.8,1.8,2025-11-01
ORD20251101002,P001,Coca-Cola 330ml,Beverages,1,1.5,1.5,2025-11-01
ORD20251101003,P007,Milk 1L,Dairy,1,2.2,2.2,2025-11-01
ORD20251101004,P007,Milk 1L,Dairy,3,2.2,6.6000000000000005,2025-11-01
ORD20251101004,P014,Apples 1kg,Fruits,1,2.8,2.8,2025-11-01
ORD20251101005,P004,Doritos Nacho Cheese,Snacks,3,2.2,6.6000000000000005,2025-11-01
ORD20251101005,P008,Yogurt 500g,Dairy,1,3.0,3.0,2025-11-01
ORD20251101005,P004,Doritos Nacho Cheese,Snacks,1,2.2,2.2,2025-11-01
ORD20251101006,P003,Lays Classic Chips,Snacks,2,2.0,4.0,2025-11-01
ORD20251101007,P013,Shampoo,Personal Care,3,5.5,16.5,2025-11-01
ORD20251101007,P009,Eggs 12pcs,Dairy,1,4.0,4.0,2025-11-01
ORD20251101007,P004,Doritos Nacho Cheese,Snacks,2,2.2,4.4,2025-11-01
ORD20251101008,P002,Pepsi 330ml,Beverages,3,1.45,4.35,2025-11-01
ORD20251101008,P003,Lays Classic Chips,Snacks,1,2.0,2.0,2025-11-01
ORD20251101008,P012,Toothpaste,Personal Care,1,3.2,3.2,2025-11-01
ORD20251101009,P004,Doritos Nacho Cheese,Snacks,1,2.2,2.2,2025-11-01
ORD20251101009,P012,Toothpaste,Personal Care,1,3.2,3.2,2025-11-01
ORD20251101009,P004,Doritos Nacho Cheese,Snacks,3,2.2,6.6000000000000005,2025-11-01
ORD20251101009,P011,Chocolate Bar,Snacks,2,1.8,3.6,2025-11-01
ORD20251101010,P008,Yogurt 500g,Dairy,3,3.0,9.0,2025-11-01
ORD20251101010,P007,Milk 1L,Dairy,2,2.2,4.4,2025-11-01
ORD20251101010,P004,Doritos Nacho Cheese,Snacks,3,2.2,6.6000000000000005,2025-11-01
ORD20251101010,P004,Doritos Nacho Cheese,Snacks,3,2.2,6.6000000000000005,2025-11-01
ORD20251101011,P001,Coca-Cola 330ml,Beverages,3,1.5,4.5,2025-11-01
ORD20251101012,P013,Shampoo,Personal Care,3,5.5,16.5,2025-11-01
ORD20251101012,P001,Coca-Cola 330ml,Beverages,3,1.5,4.5,2025-11-01
ORD20251101012,P015,Bananas 1kg,Fruits,2,1.5,3.0,2025-11-01
ORD20251101012,P001,Coca-Cola 330ml,Beverages,3,1.5,4.5,2025-11-01
ORD20251101013,P007,Milk 1L,Dairy,2,2.2,4.4,2025-11-01
ORD20251101013,P015,Bananas 1kg,Fruits,3,1.5,4.5,2025-11-01
ORD20251101013,P008,Yogurt 500g,Dairy,3,3.0,9.0,2025-11-01
ORD20251101013,P015,Bananas 1kg,Fruits,2,1.5,3.0,2025-11-01
ORD20251101014,P010,Mineral Water 500ml,Beverages,3,1.0,3.0,2025-11-01
ORD20251101014,P009,Eggs 12pcs,Dairy,3,4.0,12.0,2025-11-01
ORD20251101014,P014,Apples 1kg,Fruits,3,2.8,8.399999999999999,2025-11-01
ORD20251101015,P006,Croissant,Bakery,3,1.8,5.4,2025-11-01
ORD20251101015,P006,Croissant,Bakery,2,1.8,3.6,2025-11-01
ORD20251101015,P015,Bananas 1kg,Fruits,1,1.5,1.5,2025-11-01
ORD20251101015,P013,Shampoo,Personal Care,3,5.5,16.5,2025-11-01
ORD20251101016,P010,Mineral Water 500ml,Beverages,2,1.0,2.0,2025-11-01
ORD20251101016,P013,Shampoo,Personal Care,2,5.5,11.0,2025-11-01
ORD20251101017,P012,Toothpaste,Personal Care,1,3.2,3.2,2025-11-01
ORD20251101017,P001,Coca-Cola 330ml,Beverages,1,1.5,1.5,2025-11-01
ORD20251101017,P010,Mineral Water 500ml,Beverages,3,1.0,3.0,2025-11-01
ORD20251101018,P005,Whole Wheat Bread,Bakery,3,3.5,10.5,2025-11-01
ORD20251101018,P004,Doritos Nacho Cheese,Snacks,1,2.2,2.2,2025-11-01
ORD20251101019,P011,Chocolate Bar,Snacks,3,1.8,5.4,2025-11-01
ORD20251101020,P011,Chocolate Bar,Snacks,3,1.8,5.4,2025-11-01
ORD20251101020,P004,Doritos Nacho Cheese,Snacks,2,2.2,4.4,2025-11-01
ORD20251101020,P001,Coca-Cola 330ml,Beverages,3,1.5,4.5,2025-11-01
ORD20251101020,P003,Lays Classic Chips,Snacks,1,2.0,2.0,2025-11-01
ORD20251101021,P010,Mineral Water 500ml,Beverages,1,1.0,1.0,2025-11-01
ORD20251101021,P008,Yogurt 500g,Dairy,2,3.0,6.0,2025-11-01
ORD20251101021,P014,Apples 1kg,Fruits,1,2.8,2.8,2025-11-01
ORD20251101021,P014,Apples 1kg,Fruits,2,2.8,5.6,2025-11-01
ORD20251101022,P010,Mineral Water 500ml,Beverages,3,1.0,3.0,2025-11-01
ORD20251101022,P015,Bananas 1kg,Fruits,1,1.5,1.5,2025-11-01
ORD20251101023,P006,Croissant,Bakery,2,1.8,3.6,2025-11-01
ORD20251101024,P011,Chocolate Bar,Snacks,3,1.8,5.4,2025-11-01
ORD20251101024,P006,Croissant,Bakery,1,1.8,1.8,2025-11-01
ORD20251101024,P015,Bananas 1kg,Fruits,2,1.5,3.0,2025-11-01
ORD20251101024,P002,Pepsi 330ml,Beverages,3,1.45,4.35,2025-11-01
ORD20251101025,P001,Coca-Cola 330ml,Beverages,3,1.5,4.5,2025-11-01
ORD20251101025,P006,Croissant,Bakery,3,1.8,5.4,2025-11-01
ORD20251101025,P005,Whole Wheat Bread,Bakery,2,3.5,7.0,2025-11-01
ORD20251101026,P010,Mineral Water 500ml,Beverages,3,1.0,3.0,2025-11-01
ORD20251101026,P001,Coca-Cola 330ml,Beverages,2,1.5,3.0,2025-11-01
ORD20251101027,P001,Coca-Cola 330ml,Beverages,2,1.5,3.0,2025-11-01
ORD20251101027,P014,Apples 1kg,Fruits,3,2.8,8.399999999999999,2025-11-01
ORD20251101027,P003,Lays Classic Chips,Snacks,2,2.0,4.0,2025-11-01
ORD20251101028,P011,Chocolate Bar,Snacks,3,1.8,5.4,2025-11-01
ORD20251101028,P013,Shampoo,Personal Care,1,5.5,5.5,2025-11-01
ORD20251101028,P002,Pepsi 330ml,Beverages,3,1.45,4.35,2025-11-01
ORD20251101029,P005,Whole Wheat Bread,Bakery,2,3.5,7.0,2025-11-01
ORD20251101030,P015,Bananas 1kg,Fruits,2,1.5,3.0,2025-11-01
ORD20251101030,P004,Doritos Nacho Cheese,Snacks,2,2.2,4.4,2025-11-01
ORD20251101030,P003,Lays Classic Chips,Snacks,2,2.0,4.0,2025-11-01
